text,label
"정유사, 中봉쇄,고유가에 웃고 울었다…내년 최악 전망 속 ‘출구전략’ 사활 (어떻게 보십니까 2023-에너지)",1
"EU 탄소국경제 기업에 고통…손경식, 정부에 대비책 요청",0
"(주춤하는 ESG) 환경독일마저 과거 회귀,,,국내기업들 적자 속 투자 부담 늘어",0
‘기업 성장일자리 증가’ 공식 깨졌다…대표 기업 15곳 살펴보니,0
유연탄 폭등에 중대재해까지…쌍용C&E 사 비상경영돌입,0
전쟁으로 우려되는 ‘공유지 비극’(김성모 기자의 신비월드),0
"건설기간 30% 짧고, 안전기준 위반 수두룩…물류센터 화재 예고된 인재였다",0
석유화학 '불패신화'...한화솔루션도 웃었다,2
"진짜 위기 오나…SK,LG,삼성 총수들, 줄줄이 ‘사장단 회의’",0
"국내기업 CEO, ESG 인식 높지만 투자에는 소극적",0
"탄소중립 내세우며… 일부 환경단체, 해외사업까지 ‘발목’",0
"'오타니 특수'에 후원사도, 日 자본주의 아버지도 '덩실' [정영효의 일본산업 분석]",1
민주 대선판 '1위 이재명 경기도지사' 견제구 심화,1
"포스코, 미얀마군부와 합작사 운영… ESG 리스크 ↑",0
"中企 4곳 중 1곳만 ESG 대비…비용 부담,인력 부족 탓",0
글로벌 경기 둔화 우려에 양 시장 외국인 매도세,1
"[2021 GGGF] 인류사회 위기 극복해야...與野, 지속가능성장에 한목소리",1
"DL건설, ESG 경영 평가 A등급…전년 대비 한계단 올라",2
"美상원 위원장 애플,테슬라, 中인권,환경문제 외면 비판",0
"(Business Inside) 김범수 의장 탈세의혹,CEO ‘먹튀양성소’ 오명, 주가 폭락에 개미 원성까지 벼랑 끝 몰린 카카오",0
"“법에 막혀 폐플라스틱 재활용 한계' 기업들, 정부에 개선 건의",1
"[단독]쿠팡 덕평물류센터 참사, 'ESG 평가' 경고했었다",0
"'벌처펀드 대가' 다트, 담배회사 두 곳에 7조7000억 투자",1
"홈플러스, 난이 농산물할인 판매..상생 실현",2
'가짜 ESG'에 신음하는 기업들[우보세],0
"文, 이재용 사면론 기류변화… “형평성 고려해야'→“고충 이해'",1
“동남권 철강산업 환경규제 부정적 영향 커',0
"ESG 성과점수 상위권 호텔신라, 통합점수는 밀렸다?",1
[국감] ‘온실가스 감축량 업계 최하위’ 지적에 삼성전자 “저감율 높일 것',0
[단독] 文정부 석탄발전 수출 중단에 '필리핀 발전사업' 철수,1
"S의 그림자, 횡령,담합,안전사고에 발목잡힌 상장사들",0
[IT 이슈 리마인드] ② 국회 압박에 꼬리 내린 구글·애플 外,0
[2021 국감] 권칠승 장관 “소상공인 회복 집중… 손실보상 만전 기하겠다',2
"품질=고객 안전…현대차, ESG 깎아내린 리콜 사태",0
SK종합화학 지분 매각 에쓰오일도 ‘거절’…PEF 각축전 되나[마켓인사이트],1
"공기업 중 LH공사 ESG리스크 최대, 리스크 큰 11개사는?",0
"'ESG 우등생' 네이버, S&P선 꼴찌 수준…기관마다 '널뛰기 평가'",1
경영학자 10명 중 6명 “韓 경영환경·기업강정신 선진국에 뒤처져',0
수출기업 절반 계약파기 위기…ESG 실사비용 지원을',0
자원순환체계 훼손하는 중국産 ‘가짜 재생 원료’,0
"머스크, 무원 성추문지…테슬라 잇단 악재",0
[하태훈의 법과 사회]가짜로 오염된 소셜미디어,1
中企 홀로 ESG 대응 불가능…대기업 노하우 전수 절실,0
국내 기업 10곳 중 9곳 “反기업 정서 개선 시급',0
"LG전자, 협력사 사업장 화재,안전사고 막는다",2
"포스코·LG, 점수 낮은 협력사 계약 해지...발등의 불 된 ‘ESG’",0
"엘오티베큠, 디스플 필수 드라이펌프 공급부족 심각 삼성電 핵심부품 납품중",1
"(단독) 에코프로비엠 주식 내부자거래로 금융위,검찰 수사…추가 수주 비상등",0
전경련 국내외 ESG 평가등급 격차 커…코리아 디스카운트 우려,0
취준생들 어쩌나...대기업 68% “하반기 채용 계획 없거나 미정',0
포스코홀딩스 출범… ‘포항 이전 갈등’ 불씨는 남아,0
LNG 발전 포함된 녹색분류체계 공개…환경단체 제도 취지 훼손 비판,0
"네이버, 여성임원 비율 높았지만 S 리스크 부각",0
공공기관 평가점수 44%가 '사회적가치'...재무는 고작 9%,1
